Year;Country;G01N;G05B;G06F;G06K;G06N;G06Q;G06T;G10L;H04L;H04N;Automation_and_Control_Systems;Computer Science_Artificial_Intelligence;Computer Science_Information_Systems;Computer Science_Interdisciplinary_Applications;Computer Science_Theory_and_Methods;Engineering_Electrical_and_Electronic;Engineering_Multidisciplinary;Environmental_Sciences;Instruments_and_Instrumentation;Neurosciences;Adjusted_net_national_income_(current_US$);Adjusted_savings_education_expenditure_(%_of_GNI);Adjusted_savings_education_expenditure_(current_US$);Age_dependency_ratio_(%_of_working_age_population);Age_dependency_ratio_old_(%_of_working_age_population);Age_dependency_ratio_young_(%_of_working_age_population);Agricultural_machinery_tractors_per_100_sq_km_of_arable_land;Exports_of_goods_and_services_(%_of_GDP);External_balance_on_goods_and_services_(%_of_GDP);Final_consumption_expenditure_(%_of_GDP);Fixed_telephone_subscriptions_(per_100_people);Foreign_direct_investment_net_inflows_(%_of_GDP);Foreign_direct_investment_net_inflows_(BoP_current_US$);Foreign_direct_investment_net_outflows_(%_of_GDP);Foreign_direct_investment_net_outflows_(BoP_current_US$);GDP_(constant_2010_US$);GDP_per_capita_(constant_2010_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_LCU);GNI_per_capita_(current_LCU);Gross_capital_formation_(%_of_GDP);Gross_fixed_capital_formation_(%_of_GDP);Gross_national_expenditure_(%_of_GDP);Imports_of_goods_and_services_(%_of_GDP);Inflation_GDP_deflator_(annual_%);Lower_secondary_school_starting_age_(years);Merchandise_exports_by_the_reporting_economy_(current_US$);Merchandise_exports_to_high_income_economies_(%_of_total_merchandise_exports);Merchandise_imports_by_the_reporting_economy_(current_US$);Merchandise_imports_from_high_income_economies_(%_of_total_merchandise_imports);Merchandise_trade_(%_of_GDP);Population_total;Preprimary_education_duration_(years);Primary_education_duration_(years);Primary_school_starting_age_(years);Real_effective_exchange_rate_index_(2010_100);Secondary_education_duration_(years);Trade_(%_of_GDP);Urban_population_(%_of_total_population);AI_publications;AI_patents
2003;Austria;83;7;27;7;0;7;5;4;23;1;15;131;92;117;273;177;30;156;91;222;2,17E+11;5,27;13754700000;47,33;23,27;24,06;2412,47;44,57;2,75;73,06;47,42;2,37;6195021861;2,37;6195021861;3,5E+11;43052,6;18,98;2,31E+11;28477,71;24,41;24,11;97,47;41,82;1,31;10;97183230388;89,88;99542232201;91,48;75,16;8121423;3;4;6;102,78;8;86,39;59,38;32;0
2004;Austria;75;8;33;15;0;8;6;2;13;4;15;116;113;103;261;167;20;172;85;231;2,49E+11;5,14;15420000000;47,4;23,54;23,85;2408,67;46,87;2,94;72,75;46,5;1,06;3183649650;1,06;3183649650;3,59E+11;43956,58;18,89;2,42E+11;29615,19;24,06;23,59;96,81;43,93;1,74;10;1,18E+11;89,05;1,2E+11;91,36;79,19;8171966;3;4;6;103,92;8;90,79;59,09;25;0
2005;Austria;48;3;12;8;0;6;14;0;5;10;25;162;141;110;302;166;22;164;101;271;2,62E+11;5,09;16033500000;47,43;23,88;23,55;2401,16;48,62;3,21;73,16;45,3;25,67;81096089418;25,73;81289428264;3,67E+11;44637,86;19,35;2,54E+11;30814,57;23,83;23,05;96,98;45,41;2,54;10;1,25E+11;87,33;1,27E+11;89,3;79,91;8227829;3;4;6;102,87;8;94,03;58,81;30;0
2006;Austria;53;15;28;11;0;10;18;4;36;11;22;151;134;130;295;199;30;225;97;229;2,81E+11;5,07;17085900000;47,61;24,34;23,27;;50,84;3,6;72,47;43,51;3,13;10500457158;4,79;16087848124;3,8E+11;45951,73;19,26;2,68E+11;32466,04;23,61;22,6;96,08;47,25;1,89;10;1,37E+11;87,25;1,37E+11;88,71;81,54;8268641;3;4;6;102,01;8;98,09;58,53;23;0
2007;Austria;78;6;36;20;1;10;12;0;25;6;23;58;53;91;82;211;24;297;127;246;3,24E+11;5,01;19438800000;47,75;24,86;22,9;;52,56;4,39;70,76;40,98;17,72;68865787583;20,33;79039906400;3,94E+11;47510,29;18,74;2,84E+11;34198,32;24,58;22,92;95,34;48,17;2,22;10;1,64E+11;86,27;1,63E+11;89,54;84,04;8295487;3;4;6;102,58;8;100,73;58,25;32;0
2008;Austria;69;15;54;22;0;16;9;1;28;19;38;61;58;98;87;211;42;299;104;276;3,62E+11;5,07;22003800000;47,88;25,4;22,48;;53,25;4,42;71,1;39,38;1,46;6301143682;6,48;27903023947;4E+11;48053,48;19,27;2,96E+11;35596,03;24,47;23,28;95,56;48,82;1,96;10;1,82E+11;84,87;1,85E+11;88,04;84,96;8321496;3;4;6;102,75;8;102,07;57,97;37;0
2009;Austria;94;13;34;15;2;19;22;6;10;9;28;70;59;111;68;241;36;258;113;241;3,3E+11;5,55;22200000000;48,02;25,91;22,11;;45,21;3,35;74,17;38,85;3,57;14300064389;3,89;15558174355;3,85E+11;46123,49;20,68;2,88E+11;34508,94;22,78;22,41;96,94;41,85;1,89;10;1,37E+11;85;1,43E+11;89,13;69,98;8343323;3;4;6;103,59;8;87,06;57,68;32;0
2010;Austria;58;13;45;13;1;19;6;1;17;3;50;70;81;111;93;294;37;317;150;261;3,26E+11;5,4;21330000000;48,18;26,37;21,81;;51,26;3,5;73,99;40,4;-5,62;-22007325156;-3,66;-14327624858;3,92E+11;46858,04;20,49;2,98E+11;35675,88;22,61;21,6;96,6;47,76;0,87;10;1,52E+11;84,98;1,59E+11;88,02;79,5;8363404;3;4;6;100;8;99,02;57,4;35;0
2011;Austria;50;18;33;19;0;16;8;2;14;11;39;84;84;130;105;271;39;361;158;326;3,58E+11;5,4;23382000000;48,31;26,78;21,54;;53,95;2,79;73,28;40,08;5,33;22983942932;8,85;38145284753;4,03E+11;48065,32;19,9;3,11E+11;37081,45;24,14;22,47;97,42;51,15;1,83;10;1,77E+11;84,95;1,91E+11;87,34;85,56;8391643;3;4;6;100,26;8;105,1;57,12;26;0
2012;Austria;41;17;56;16;0;13;5;1;42;6;52;102;73;136;93;322;38;344;107;298;3,37E+11;5,21;21361000000;48,46;27,13;21,33;;53,97;2,8;73,32;39,75;1,27;5218620113;4,5;18444297859;4,06E+11;48172,24;19,86;3,19E+11;37838,09;23,98;22,65;97,3;51,18;2,05;10;1,67E+11;84,28;1,79E+11;86,37;84,29;8429991;3;4;6;98,4;8;105,15;57,15;33;0
2013;Austria;65;23;47;21;0;15;5;2;23;6;57;102;105;141;103;281;50;417;160;311;3,53E+11;5,28;22767486061;48,65;27,46;21,19;;53,44;2,82;73,58;38,97;0,1;451107665;2,56;11031000205;4,06E+11;47901,37;19,92;3,25E+11;38300,79;23,72;23,04;97,3;50,63;1,62;10;1,75E+11;84,55;1,83E+11;85,89;83,34;8479823;3;4;6;100,5;8;104,07;57,34;38;0
2014;Austria;71;16;41;18;0;17;15;1;40;9;58;77;123;146;112;324;57;456;133;395;3,63E+11;5,17;22884792496;48,88;27,78;21,1;;53,39;3,27;73,2;40,85;0,39;1712175274;-0,2;-875366262;4,09E+11;47842,75;19,8;3,34E+11;39032,45;23,53;22,66;96,73;50,12;2,18;10;1,78E+11;84,99;1,82E+11;86,07;81,52;8546356;3;4;6;101,83;8;103,5;57,53;46;0
2015;Austria;124;17;60;7;0;12;11;0;51;6;53;111;141;164;134;359;48;530;149;392;3,09E+11;5,21;19687055902;49,17;28,1;21,06;;53,09;3,75;72,44;41,6;-2,09;-7975773544;-0,56;-2139495178;4,13E+11;47789,39;19,76;3,41E+11;39441,32;23,81;22,7;96,25;49,34;2,3;10;1,53E+11;86,09;1,56E+11;86,41;80,87;8642699;3;4;6;98,3;8;102,43;57,72;35;0
2016;Austria;61;33;50;12;4;7;8;1;24;7;68;139;155;171;147;406;54;585;189;409;3,23E+11;5,21;20520370437;49,43;28,26;21,18;;52,45;3,83;71,97;40,78;-7,32;-28939340169;-6,81;-26915802129;4,22E+11;48259,94;19,67;3,57E+11;40893,48;24,19;23,1;96,16;48,62;1,67;10;1,52E+11;86,48;1,58E+11;87,07;78,38;8736668;3;4;6;99,77;8;101,07;57,91;58;0
2017;Austria;51;10;23;16;0;12;3;0;17;0;71;108;124;188;160;406;62;590;151;401;3,41E+11;5,21;21666177923;49,67;28,37;21,3;;54,04;3,3;71,71;42,66;3,24;13520042222;2,42;10108273842;4,32E+11;49112,73;19,49;3,67E+11;41716,73;24,77;23,53;96,47;50,74;1,13;10;1,68E+11;86,22;1,76E+11;86,14;82,39;8797566;3;4;6;100,84;8;104,77;58,09;45;0
1980;Belgium;6;0;0;0;0;1;0;0;0;0;8;3;10;15;10;61;14;31;26;56;1,08E+11;5,3;6784000000;52,87;22,08;30,79;;50,12;-2,82;77,57;24,74;1,22;1544780000;1,22;1544780000;2,67E+11;27069,43;22,87;91988419200;9330,17;26,56;24,82;104,13;52,94;4,13;12;;;;;;9859242;3;6;6;113,01;6;103,06;95,38;0;0
1981;Belgium;1;1;0;0;0;0;0;0;1;4;11;2;9;12;12;87;12;38;37;57;87907653007;5,5;5775000000;51,81;21,82;29,99;;54,06;-2,09;80,37;26,18;1,32;1386450000;1,32;1386450000;2,66E+11;26994,54;24,1;96523191700;9790,38;22,57;21,56;102,94;56,16;5,14;12;;;;;;9858982;3;6;6;105,01;6;110,22;95,54;0;0
1982;Belgium;8;0;2;1;0;0;0;0;1;0;7;1;14;10;12;59;17;41;30;67;77209233685;5,4;4980151344;50,64;21,38;29,27;;58,1;-1,72;80,84;27,52;1,6;1472180000;1,6;1472180000;2,68E+11;27162,53;23,76;1,04E+11;10547,13;21,6;20,3;102,43;59,82;7,57;12;;;;;;9856303;3;6;6;95,79;6;117,93;95,64;0;0
1983;Belgium;4;0;0;1;0;1;1;0;0;1;7;5;14;17;16;74;10;35;39;60;73076098328;5,2;4537606215;49,51;20,88;28,64;;60,4;0,4;81,02;28,47;1,48;1289700000;1,48;1289700000;2,69E+11;27249,4;23,42;1,1E+11;11169,01;18,76;18,72;99,78;60;5,61;12;;;;;;9855520;3;6;6;94,71;6;120,4;95,74;0;0
1984;Belgium;4;0;2;0;0;0;0;0;2;0;13;1;8;17;15;66;20;55;38;83;70465995992;4,9;4096542331;48,59;20,51;28,08;;64,41;0,59;79,85;29,53;0,47;389370000;0,47;389370000;2,75E+11;27921,9;23,35;1,19E+11;12093,04;19,82;18,37;99,66;63,82;5,44;12;;;;;;9855372;3;6;6;94,12;6;128,23;95,84;0;0
1985;Belgium;3;0;2;1;0;0;0;0;0;2;15;4;13;16;19;86;18;62;33;73;73290539217;5,1;4426095289;47,97;20,36;27,61;;62,45;1,03;80,11;30,58;1,22;1051490000;1,22;1051490000;2,8E+11;28374,65;22,83;1,27E+11;12895,83;18,98;18,82;99,08;61,42;4,63;12;;;;;;9858308;3;6;6;95,28;6;123,88;95,93;1;0
1986;Belgium;1;3;0;0;0;1;1;0;10;10;14;4;14;17;12;65;18;44;38;80;1,03E+11;4,9;5929000000;47,91;20,57;27,34;;57,28;2,24;79,1;32,5;0,61;729860000;0,61;729860000;2,85E+11;28881,56;22,69;1,33E+11;13504,7;18,57;18,67;97,67;55,04;2,8;12;;;;;;9861823;3;6;6;99,23;6;112,33;96,02;5;0
1987;Belgium;18;0;6;3;0;1;2;0;14;8;13;1;20;19;20;101;6;52;52;89;1,28E+11;4,6;6946000000;48,07;20,97;27,1;;55,87;1,82;78,61;33,87;1,58;2354920000;1,58;2354920000;2,91E+11;29522,58;22,52;1,39E+11;14080,24;19,63;19,11;98,24;54,05;1,68;12;;;;;;9870234;3;6;6;102,36;6;109,92;96,12;2;0
1988;Belgium;9;4;4;4;0;0;0;2;0;3;22;12;13;16;32;104;18;52;46;105;1,4E+11;4,3;7052000000;48,37;21,47;26,9;;59,41;2,39;75,94;35,4;3,21;5212470000;3,21;5212470000;3,05E+11;30818,85;21,14;1,49E+11;15014,7;21,86;21,08;97,81;57,01;2,17;12;;;;;;9901664;3;6;6;100,12;6;116,42;96,2;7;0
1989;Belgium;12;1;7;2;0;0;1;0;2;3;10;3;18;35;32;96;25;73;48;150;1,41E+11;4,3;7095000000;48,72;21,95;26,77;;63,57;2,2;74,67;37,19;4,27;7020270000;4,27;7020270000;3,16E+11;31772,39;20,46;1,61E+11;16172,98;23,53;22,84;98,19;61,37;4,8;12;;;;;;9937697;3;6;6;98,93;6;124,94;96,29;6;0
1990;Belgium;14;1;8;1;0;1;2;0;1;11;18;16;31;30;45;157;19;65;89;124;1,77E+11;4,3;8901000000;49,07;22,35;26,72;;61,61;1,76;74,41;39,1;3,92;8046730000;3,92;8046730000;3,26E+11;32671,63;20,22;1,71E+11;17119,27;24,35;23,98;98,76;59,85;2,81;12;;;;;;9967379;3;6;6;103,17;6;121,47;96,38;9;0
1991;Belgium;10;3;9;3;0;2;1;0;3;6;20;10;25;27;59;136;20;54;63;147;1,82E+11;4,3;9159000000;49,47;22,8;26,68;;60,23;1,87;75,65;40,8;4,45;9362560000;4,45;9362560000;3,32E+11;33147,13;20,86;1,79E+11;17935,85;22,84;22,39;98,49;58,36;2,88;12;;;;;;10004486;3;6;6;101,64;6;118,59;96,46;16;0
1992;Belgium;9;3;10;3;0;1;0;0;7;5;22;20;47;45;76;192;14;82;83;132;2,02E+11;5,2;12326830017;49,89;23,17;26,73;;58,81;2,55;75,1;42,31;4,81;11285800000;4,81;11285800000;3,37E+11;33518,23;20,96;1,88E+11;18753,13;22,59;22,1;97,7;56,26;3,42;12;;;;;;10045158;3;6;6;102,54;6;115,07;96,54;21;0
1993;Belgium;18;1;15;4;0;1;9;9;10;111;12;19;46;42;45;179;9;99;68;133;1,95E+11;5,3;12190000000;50,32;23,48;26,84;;56,11;3,2;74,96;43,44;4,78;10750000000;4,78;10750000000;3,33E+11;33066,41;21,29;1,96E+11;19428,41;21,93;21,32;96,89;52,9;3,99;12;;;;;;10084475;3;6;6;102,46;6;109,01;96,62;11;0
1994;Belgium;19;3;12;1;0;0;4;0;2;15;22;41;42;58;49;216;23;123;80;165;2,15E+11;5,3;13356000000;50,74;23,77;26,96;;58,42;3,62;74,42;44,74;3,48;8513580000;3,48;8513580000;3,44E+11;34028,41;21,1;2,08E+11;20570,43;22,01;20,8;96,43;54,81;2,09;12;;;;;;10115603;3;6;6;104,15;6;113,23;96,7;30;0
1995;Belgium;17;6;4;2;0;0;0;0;2;2;36;49;33;53;82;224;21;112;95;190;2,51E+11;2,9;8584000000;51,1;24,07;27,03;;60,11;3,85;74,36;45,96;3,71;10688700000;3,71;10688700000;3,52E+11;34767,02;21,3;2,15E+11;21220,81;21,79;21,23;96,15;56,26;1,22;12;;;;;;10136811;3;6;6;107,97;6;116,38;96,78;36;0
1996;Belgium;15;1;0;2;0;0;1;2;0;21;49;45;21;68;48;269;31;145;133;200;2,43E+11;3;8640000000;51,56;24,47;27,09;;61,19;3,17;75,2;45,29;5,04;14063900000;5,04;14063900000;3,57E+11;35157,69;21,72;2,19E+11;21588,94;21,63;21,18;96,83;58,02;0,48;12;;;;;;10156637;3;6;6;105,2;6;119,21;96,85;39;0
1997;Belgium;12;1;6;6;0;5;2;0;1;12;43;60;53;78;90;253;20;143;125;259;2,2E+11;3,04;7927859601;51,9;24,84;27,06;;64,79;3,88;73,82;46,64;4,75;11998300000;4,75;11998300000;3,71E+11;36403,25;21,15;2,3E+11;22546,82;22,3;21,85;96,12;60,9;0,76;12;;;;;;10181245;3;6;6;98,91;6;125,69;96,92;31;0
1998;Belgium;16;1;13;2;0;5;0;0;2;6;44;63;52;87;105;300;32;183;119;284;2,24E+11;3,04;8110109247;52,14;25,18;26,96;;64,17;3,64;74,01;47,44;8,78;22690500000;8,78;22690500000;3,78E+11;37038,25;21,09;2,38E+11;23353,25;22,35;21,78;96,36;60,53;1,81;12;;;;;;10203008;3;6;6;98,73;6;124,71;97;41;0
1999;Belgium;9;0;6;6;0;5;0;0;5;5;61;74;48;82;109;319;21;199;119;288;2,23E+11;3,89;10355269874;52,33;25,47;26,86;;64,56;3,96;73,35;48,84;46,36;1,2E+11;46,36;1,2E+11;3,91E+11;38262,63;21,28;2,48E+11;24246,23;22,69;22,17;96,04;60,61;0,6;12;;;;;;10226419;3;6;6;97;6;125,17;97,07;44;0
2000;Belgium;2;0;4;4;0;7;0;0;13;7;43;70;71;70;110;353;33;204;122;288;2,04E+11;4,75;11586152360;52,51;25,72;26,79;;72,55;2,86;73,35;48,98;37,57;88738714000;37,57;88738714000;4,06E+11;39588,6;21,04;2,63E+11;25653,82;23,78;22,51;97,14;69,68;2,01;12;;;;;;10251250;3;6;6;93,01;6;142,23;97,13;46;0
2001;Belgium;15;0;10;3;0;3;1;0;5;8;53;75;35;88;91;359;37;247;127;297;2,01E+11;5,6;13561407986;52,55;25,95;26,6;;71,61;3,65;73,72;49,73;37,29;88203254000;37,29;88203254000;4,1E+11;39886,49;21,31;2,69E+11;26177,77;22,63;22,39;96,35;67,96;1,98;12;;;;;;10286570;3;6;6;93,63;6;139,58;97,19;45;0
2002;Belgium;6;2;13;1;0;6;4;0;3;4;52;118;62;91;137;412;39;253;142;297;2,19E+11;5,71;15013070914;52,6;26,13;26,48;;70,83;5,58;73,68;47,58;7,05;18118954671;3,47;8919905175;4,17E+11;40385,87;22,14;2,78E+11;26902,54;20,75;20,7;94,42;65,25;1,64;12;;;;;;10332785;3;6;6;95,11;6;136,09;97,24;43;0
2003;Belgium;6;0;7;0;0;5;0;0;3;3;67;155;92;150;257;394;37;263;131;351;2,69E+11;5,56;18083868955;52,65;26,27;26,39;;69,04;5,36;73,68;46,79;10,89;34559267490;12,31;39066046691;4,22E+11;40634,59;22,48;2,87E+11;27618,14;20,96;20,49;94,64;63,68;1,85;12;;;;;;10376133;3;6;6;99,7;6;132,72;97,3;49;0
2004;Belgium;10;0;4;2;0;6;0;0;3;1;61;162;111;132;278;459;38;304;154;322;3,12E+11;5,62;21131200000;52,64;26,35;26,29;;70,91;4,89;72,44;45,81;12,07;44498165771;9,43;34747346753;4,37E+11;41903,98;22,2;3,01E+11;28877,96;22,67;21,46;95,11;66,01;1,92;12;;;;;;10421137;3;6;6;101,3;6;136,92;97,35;57;0
2005;Belgium;0;0;0;0;0;0;0;0;0;0;72;196;157;129;338;489;35;383;143;380;3,24E+11;5,6;21952000000;52,53;26,37;26,16;;74,28;4,04;72,28;45,46;8,73;33662010794;8,44;32538356841;4,47E+11;42641,68;22,09;3,14E+11;29957,28;23,68;22,15;95,96;70,25;2,08;12;;;;;;10478617;3;6;6;101,05;6;144,53;97,4;39;0
2006;Belgium;0;0;0;0;0;4;0;0;0;0;58;227;157;183;341;498;45;353;141;359;3,41E+11;5,63;23364500000;52,47;26,4;26,07;;76,8;4,04;71,99;44,52;14,42;58821552824;12,29;50131037368;4,58E+11;43442,57;21,94;3,3E+11;31269,33;23,97;22,33;95,96;72,76;2,26;12;;;;;;10547958;3;6;6;100,61;6;149,57;97,45;49;1
2007;Belgium;0;0;2;0;0;1;0;0;0;0;77;132;80;173;85;561;48;393;157;351;3,93E+11;5,63;26911400000;52,28;26,34;25,94;;78,3;4,14;71,26;45,31;20,53;96551634531;17,74;83458030314;4,75E+11;44710,39;21,62;3,48E+11;32788,31;24,6;23,29;95,86;74,17;1,93;12;;;;;;10625700;3;6;6;101,42;6;152,47;97,51;59;0
2008;Belgium;0;0;3;0;0;0;0;0;0;0;57;121;109;196;99;595;55;430;139;418;4,34E+11;5,95;31594500000;52,06;26,25;25,81;;80,88;0,67;73,39;43,92;36,95;1,9E+11;43,33;2,23E+11;4,77E+11;44556,82;22,67;3,6E+11;33641,39;25,94;24,12;99,33;80,21;1,91;12;;;;;;10709973;3;6;6;104,15;6;161,09;97,56;61;0
2009;Belgium;0;0;0;0;0;3;0;2;0;0;74;108;88;149;82;550;50;432;147;424;3,91E+11;6,25;30312500000;51,94;26,23;25,71;;68,83;2,26;75,56;42,69;16,07;77354509260;6,93;33339457356;4,68E+11;43306,6;24,19;3,53E+11;32688,01;22,17;22,78;97,74;66,57;0,53;12;;;;;;10796493;3;6;6;104,21;6;135,41;97,6;46;0
2010;Belgium;0;0;1;0;0;0;0;2;0;0;46;108;112;206;98;572;63;514;175;506;4,06E+11;6,1;30439000000;52,01;26,35;25,66;;75,85;1,7;75,17;42,42;26,09;1,25E+11;13,89;66826887404;4,81E+11;44141,88;23,73;3,69E+11;33840,66;23,13;22,12;98,3;74,15;1,89;12;;;;;;10895586;3;6;6;100;6;150;97,65;66;0
2011;Belgium;0;0;0;0;0;0;0;0;0;0;65;158;129;221;101;693;73;506;153;561;4,3E+11;6,12;32558400000;52,33;26,56;25,77;;80,7;-0,1;75,59;42,08;31,31;1,64E+11;24,7;1,29E+11;4,89E+11;44309,63;24,05;3,77E+11;34114,9;24,51;23,01;100,1;80,8;1,81;12;;;;;;11038264;3;6;6;100,75;6;161,49;97,7;63;0
2012;Belgium;0;0;3;0;0;0;0;0;1;0;61;154;138;191;121;695;87;532;171;563;4,12E+11;6,15;31344775729;52,74;26,87;25,87;;80,4;0,06;76,25;41,81;2,38;11810272331;8,36;41494610352;4,93E+11;44361,21;24,3;3,95E+11;35575,6;23,69;22,96;99,94;80,34;1,96;12;;;;;;11106932;3;6;6;98,48;6;160,75;97,74;58;0
2013;Belgium;0;0;1;0;0;0;0;0;0;0;69;166;138;255;117;664;82;614;180;614;4,27E+11;6,17;32711965241;53,24;27,26;25,98;;79,32;0,8;76,77;41,12;-5,68;-29640924980;-2,37;-12369146244;4,95E+11;44355,37;24,31;4,03E+11;36073,48;22,43;22,17;99,2;78,53;1,27;12;;;;;;11159407;3;6;6;100,16;6;157,85;97,79;66;0
2014;Belgium;0;0;0;0;0;1;0;0;0;0;103;196;163;247;130;739;78;597;165;667;4,3E+11;6,28;33552228274;53,74;27,64;26,1;;79,8;0,82;76,05;40,39;-2,84;-15205871358;-0,08;-418230388;5,03E+11;44855,96;24,23;4,11E+11;36707,76;23,14;22,81;99,18;78,98;0,98;12;;;;;;11209057;3;6;6;99,93;6;158,78;97,83;61;0
2015;Belgium;0;0;1;1;0;2;0;0;0;0;82;169;164;217;151;688;71;746;186;653;3,65E+11;6,26;28373060207;54,19;27,97;26,22;;77,81;1,42;74,95;39,77;-4,22;-19514245855;1,59;7330131585;5,13E+11;45503,35;23,62;4,23E+11;37483,72;23,63;22,96;98,58;76,39;1,34;12;;;;;;11274196;3;6;6;94,87;6;154,19;97,88;76;0
2016;Belgium;14;1;19;3;1;22;2;1;13;7;114;218;169;229;137;691;92;776;209;704;3,81E+11;6,26;29437832886;54,77;28,43;26,34;;79,38;1,19;74,61;38,5;12,09;57538351507;7,26;34555153239;5,21E+11;45957,68;23,24;4,34E+11;38340,62;24,19;23,21;98,81;78,18;1,74;12;;;;;;11331422;3;6;6;97,69;6;157,56;97,92;61;0
2017;Belgium;9;8;14;5;1;56;2;1;6;1;101;187;173;248;123;676;100;784;189;699;4,07E+11;6,26;31379477183;55,33;28,87;26,46;;82,31;1,39;74,49;37,49;-7,19;-36143116557;-1,26;-6339874211;5,31E+11;46680,21;23,07;4,51E+11;39663,66;24,11;23,11;98,61;80,92;1,72;12;;;;;;11375158;3;6;6;99,08;6;163,23;97,96;86;0
1980;Brazil;30;8;16;14;0;1;0;0;10;1;4;0;2;2;1;16;4;6;12;29;1,99E+11;3,5;7945000000;72,47;6,61;65,87;121,16;9,05;-2,25;78,91;4,1;0,81;1911000000;0,16;367000000;1,01E+12;8349,49;9,2;4;0;23,35;22,9;102,25;11,31;87,31;11;20127740000;66,13;27456451000;63,8;19,19;120694009;3;4;7;84,24;7;20,36;65,47;0;0
1981;Brazil;34;3;6;7;0;4;0;0;2;6;3;0;6;2;6;25;7;10;15;20;2,22E+11;4;10120000000;71,8;6,64;65,16;124,78;9,42;-0,38;77,29;4,31;0,96;2520000000;0,08;207000000;9,63E+11;7796,85;9,32;9;0;23,08;22,94;100,38;9,8;107,21;11;23326410000;63,25;26482302000;66,07;17,97;123570327;3;4;7;97,94;7;19,22;66,37;0;0
1982;Brazil;23;4;13;1;0;0;0;2;3;8;4;0;6;4;4;23;4;13;14;19;2,33E+11;4,3;11481000000;71,05;6,66;64,4;126,17;7,61;-0,66;79,57;4,6;1,03;2910000000;0,13;376000000;9,69E+11;7660,58;10,01;17;0;21,09;21,44;100,66;8,27;104,83;11;20165530000;66,48;23176175000;61,54;14,64;126498314;3;4;7;106,17;7;15,88;67,26;0;0
1983;Brazil;24;8;37;15;0;5;0;0;1;4;7;0;6;5;5;28;2;23;12;21;1,64E+11;3,1;5921000000;70,29;6,67;63,62;131,28;11,42;2,41;80,9;4,87;0,79;1609000000;0,09;187000000;9,36E+11;7230,72;9,66;40;0;16,68;18,13;97,59;9,01;140,2;11;21851340000;69,09;18483102000;60,83;19,04;129448819;3;4;7;81,44;7;20,43;68,14;0;0
1984;Brazil;26;7;27;12;0;2;0;0;2;3;8;0;6;6;6;23;1;13;18;16;1,69E+11;2,8;5516000000;69,52;6,68;62,84;136,09;13,55;5,62;78,64;5,06;0,76;1594000000;0,02;42000000;9,85E+11;7442,97;8,28;132;0;15,74;16,89;94,38;7,92;212,79;11;27005510000;68,76;16730901000;56,07;20,2;132383568;3;4;7;72,63;7;21,47;69,01;0;0
1985;Brazil;40;6;19;11;0;0;0;0;8;13;9;0;8;2;7;31;1;16;18;36;1,8E+11;3,4;7174000000;68,75;6,7;62,05;140,87;12,25;5,15;75,65;5,32;0,65;1441000000;0,04;81000000;1,06E+12;7862,7;9,87;476;0;19,2;16,95;94,85;7,1;231,72;11;25638420000;68,04;15767906000;56,81;17,93;135274080;3;4;7;70,25;7;19,34;69,86;0;0
1986;Brazil;43;6;13;8;0;0;0;0;10;7;7;1;7;4;4;31;4;41;16;22;2,2E+11;4,1;10496000000;68,21;6,77;61,45;138,53;8,82;2,46;78,44;5,4;0,13;345000000;0,05;143000000;1,15E+12;8316,52;10,67;1272;0;19,09;19,09;97,54;6,35;145,27;11;22401110000;72,13;17112480000;72,14;14,14;138108912;3;4;7;67,05;7;15,17;70,7;0;0
1987;Brazil;41;5;42;13;0;3;1;0;20;13;6;0;3;8;7;35;10;55;21;27;2,44E+11;4,23;11966952433;67,53;6,83;60,71;139,66;9,46;3,27;74,43;5,54;0,4;1169000000;0,05;138000000;1,19E+12;8445,71;12,16;4036;0;22,3;22,3;96,73;6,19;204,1;11;26213140000;72,99;18240882000;70,24;14,56;140891602;3;4;7;69,59;7;15,65;71,53;1;0
1988;Brazil;46;12;26;16;0;1;0;0;6;10;6;1;1;11;7;41;9;43;18;37;2,74E+11;4,2;13314000000;66,76;6,89;59,87;141,32;10,89;5,2;72,09;5,76;0,85;2804000000;0,05;175000000;1,19E+12;8276,33;12,59;30218;0;22,72;22,72;94,8;5,69;651,11;11;33764350000;71,96;17652932000;73,92;15;143627503;3;4;7;69,03;7;16,58;72,34;0;0
1989;Brazil;33;7;35;14;0;2;0;0;10;8;10;1;4;13;11;49;12;34;44;40;3,95E+11;4,55;20428953118;65,93;6,96;58,97;143,54;8,93;3,47;69,63;6,01;0,27;1131000000;0,12;523000000;1,23E+12;8389,98;15,5;448509;0;26,9;26,9;96,53;5,46;1209,12;11;32639608460;75,06;22031636746;70,71;12,75;146328304;3;4;7;92,44;7;14,39;73,14;0;0
1990;Brazil;40;5;22;18;0;2;2;0;6;13;19;1;11;13;5;62;10;40;20;65;3,91E+11;4,63;20854169550;65,07;7,03;58,04;143,8;8,2;1,24;78,6;6,31;0,21;989000000;0,14;665000000;1,19E+12;7983,75;19,29;11241795;0,08;20,17;20,66;98,76;6,96;2700,44;11;31388884000;75,07;24977290402;71,56;11,68;149003223;3;4;7;114,57;7;15,16;73,92;0;0
