Year;Country;G01N;G05B;G06F;G06K;G06N;G06Q;G06T;G10L;H04L;H04N;Automation_and_Control_Systems;Computer_Science_Artificial_Intelligence;Computer_Science_Information_Systems;Computer_Science_Interdisciplinary_Applications;Computer_Science_Theory_and_Methods;Engineering_Electrical_and_Electronic;Engineering_Multidisciplinary;Environmental_Sciences;Instruments_and_Instrumentation;Neurosciences;Adjusted_net_national_income_(current_US$);Adjusted_savings_education_expenditure_(%_of_GNI);Age_dependency_ratio_(%_of_working_age_population);Exports_of_goods_and_services_(%_of_GDP);External_balance_on_goods_and_services_(%_of_GDP);Final_consumption_expenditure_(%_of_GDP);Fixed_telephone_subscriptions_(per_100_people);Foreign_direct_investment_net_inflows_(%_of_GDP);Foreign_direct_investment_net_outflows_(%_of_GDP);GDP_(constant_2010_US$);GDP_per_capita_(constant_2010_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_LCU);GNI_per_capita_(current_LCU);Gross_capital_formation_(%_of_GDP);Gross_fixed_capital_formation_(%_of_GDP);Gross_national_expenditure_(%_of_GDP);Imports_of_goods_and_services_(%_of_GDP);Inflation_GDP_deflator_(annual_%);Lower_secondary_school_starting_age_(years);Merchandise_exports_to_high_income_economies_(%_of_total_merchandise_exports);Merchandise_imports_from_high_income_economies_(%_of_total_merchandise_imports);Merchandise_trade_(%_of_GDP);Population_total;Preprimary_education_duration_(years);Primary_education_duration_(years);Primary_school_starting_age_(years);Real_effective_exchange_rate_index_(2010_100);Secondary_education_duration_(years);Trade_(%_of_GDP);Urban_population_(%_of_total_population);AI_publications;AI_patents
2003;South Korea;889;107;4968;718;7;1544;336;275;3589;5534;156;465;650;266;852;1713;112;381;231;336;5,61E+11;3,35;38,36;32,7;2,01;66,09;52,07;1,03;0,74;8,21E+11;17136,66;12,47;8,08E+14;16866542,1;32,01;31,25;98,11;30,69;3,4;12;62,34;72,91;54,76;47892330;1;6;6;;6;63,39;80,65;135;28
2004;South Korea;958;124;5728;868;6;2613;304;253;3996;6404;199;634;1087;280;1495;1784;116;483;264;392;6,31E+11;3,61;38,44;38,3;3,83;64,16;48,6;1,74;0,94;8,61E+11;17905,23;12,79;8,74E+14;18182048,66;32,12;31,2;96,27;34,47;2,98;12;60,91;71,11;62,53;48082519;1;6;6;;6;72,76;81;218;15
2005;South Korea;918;104;6034;1123;7;3427;409;231;4604;7848;185;1228;1112;460;1827;2143;254;443;365;431;7,36E+11;3,42;38,29;36,81;2,44;65,49;49,09;1,52;0,93;8,95E+11;18568,36;13,28;9,13E+14;18939855,03;32,16;30,86;97,65;34,37;1,03;12;57,97;70,01;60,75;48184561;1;6;6;;6;71,18;81,35;259;28
2006;South Korea;1694;67;8703;1554;1;4682;718;467;5061;7679;286;1404;1065;416;1753;2054;135;487;339;435;8,35E+11;3,73;38,03;37,17;0,78;66,6;45,89;0,91;1,24;9,41E+11;19427,19;13,82;9,62E+14;19869540,4;32,7;30,74;99,3;36,39;-0,14;12;57,12;68,13;62,74;48438292;1;6;6;;6;73,55;81,53;289;42
2007;South Korea;2407;85;8187;1657;5;6453;662;552;5029;7251;179;205;357;265;113;2247;154;579;443;480;9,29E+11;3,7;37,69;39,18;1,13;66,31;46,92;0,79;1,94;9,92E+11;20385,32;13,93;1,04E+15;21364299,03;32,58;30,51;98,89;38,06;2,4;12;54,56;65,12;64,87;48683638;1;6;6;;6;77,24;81,63;165;38
2008;South Korea;2690;91;9147;1445;2;6231;693;479;3203;7628;218;256;440;239;145;2715;191;663;470;543;8,16E+11;4;37,28;49,96;-0,01;67,07;49,52;1,12;1,95;1,02E+12;20803,5;14,64;1,10E+15;22513930,77;33,02;31,38;100,09;49,97;2,96;12;52,58;64,78;85,54;49054708;1;6;6;;6;99,93;81,73;176;44
2009;South Korea;3169;128;11166;1362;8;7138;1028;492;2704;6338;276;335;508;291;175;3126;207;746;468;550;7,26E+11;3,93;36,89;47,55;4,69;66,82;54,5;1;1,93;1,03E+12;20843,13;15,17;1,15E+15;23302215,56;28,47;31,32;95,29;42,86;3,54;12;50,05;64,97;76,13;49307835;1;6;6;;6;90,41;81,84;214;40
2010;South Korea;3695;284;11791;1411;24;6768;1424;400;3079;5940;281;312;594;300;159;3169;242;725;553;670;9,00E+11;4,04;36,6;49,42;3,18;64,79;57,61;0,87;2,58;1,09E+12;22086,95;14,47;1,27E+15;25559529,75;32,02;30,5;96,82;46,23;3,16;12;48,35;64,07;81,46;49554112;3;6;6;;6;95,65;81,94;168;43
2011;South Korea;3704;387;11769;1401;71;7428;1472;335;3420;5332;247;394;636;318;205;3379;338;859;679;654;9,83E+11;4,15;36,46;55,75;1,49;65,55;59,19;0,81;2,47;1,13E+12;22724,71;14,59;1,34E+15;26844614,57;32,96;30,24;98,51;54,25;1,58;12;48,35;62,99;89,78;49936638;3;6;6;;6;110;81,92;185;97
2012;South Korea;3604;275;13057;1724;23;8920;1503;476;2931;4084;269;440;733;368;250;3520;410;881;635;811;1,00E+12;4,11;36,33;56,34;2,79;66,2;60,13;0,78;2,5;1,16E+12;23123,76;14,83;1,39E+15;27721107,07;31;29,57;97,21;53,55;1,04;12;48,36;64,36;87,3;50199853;3;6;6;;6;109,89;81,85;215;53
2013;South Korea;3960;194;15086;1476;23;7576;2084;448;2626;5089;270;339;875;370;310;3342;280;1001;682;765;1,05E+12;4,56;36,23;53,88;4,98;65,92;60,25;0,98;2,17;1,19E+12;23685,41;15;1,44E+15;28548007,19;29,1;29,26;95,02;48,9;0,85;12;46,26;64,36;82,35;50428893;3;6;6;;6;102,77;81,78;194;61
2014;South Korea;4856;254;11748;1385;32;8429;1492;452;3008;4983;340;427;1006;366;417;3487;326;1150;773;804;1,14E+12;4,6;36,21;50,28;5,25;65,47;58,25;0,66;1,98;1,23E+12;24323,57;15,12;1,49E+15;29376592,06;29,28;29,15;94,75;45,02;0,6;12;47,1;63,08;77,81;50746659;3;6;6;;6;95,3;81,71;231;87
2015;South Korea;5546;287;12254;2614;110;13512;1576;480;4823;6742;384;395;1201;412;468;3915;445;1287;949;888;1,12E+12;4,64;36,32;45,34;6,96;64,32;56,83;0,3;1,71;1,27E+12;24870,77;15,01;1,57E+15;30743599,52;28,92;29,31;93,24;38,38;2,39;12;47,73;60,37;69,66;51014947;3;6;6;;6;83,71;81,63;309;124
2016;South Korea;6650;660;13852;2830;518;18540;2811;1003;6127;8132;376;394;1189;440;565;4055;387;1489;1056;874;1,15E+12;4,64;36,68;42,28;6,86;63,83;54,99;0,86;2,11;1,31E+12;25484,04;15,18;1,65E+15;32123840,15;29,25;29,68;93,08;35,43;1,98;12;47,29;59,13;63,73;51245707;3;6;6;;6;77,71;81,56;315;339
2017;South Korea;3097;452;6462;1762;532;9422;2112;646;2905;3500;417;449;1245;484;558;4127;364;1647;1105;899;1,24E+12;4,64;37,13;43,09;5,4;63,43;52,54;1,17;2,23;1,35E+12;26152,03;15,33;1,73E+15;33623258,88;31,08;31,12;94,51;37,69;2,27;12;46,27;58,59;68,74;51466201;3;6;6;;6;80,78;81,5;459;304
1980;Spain;14;11;7;8;0;0;0;0;3;10;1;0;3;1;5;35;2;18;4;41;2,00E+11;2,36;58,82;14,29;-2,98;78,93;19,18;0,64;0,13;6,55E+11;17477,87;13,61;99001542900;2640,66;24,37;22,77;103,31;17,27;13,35;11;67,23;66,64;23,54;37491165;3;5;6;94,09;7;31,56;72,79;0;0
1981;Spain;34;5;3;4;0;0;0;0;0;14;1;0;1;4;6;35;6;10;8;37;1,71E+11;2,36;58,17;16,28;-2,81;80,35;20,16;0,84;0,13;6,54E+11;17331,07;14,54;1,10E+11;2926,34;22,71;22,64;103,06;19,1;12,35;11;63;66,19;25,88;37758631;3;5;6;88,77;7;35,38;73,28;0;0
1982;Spain;36;8;11;5;0;0;0;0;7;10;0;0;4;7;5;29;4;17;5;54;1,64E+11;2,36;57,31;16,98;-2,57;80,2;20,98;0,91;0,26;6,63E+11;17442,06;14,72;1,27E+11;3342,6;22,58;22,42;102,79;19,55;13,58;11;64,65;67,49;26,51;37986012;3;5;6;88,6;7;36,53;73,52;1;0
1983;Spain;26;12;8;8;0;0;0;0;2;6;3;1;5;10;9;32;2;16;11;60;1,42E+11;2,36;56,33;19,08;-1,62;80,01;22,01;0,95;0,14;6,74E+11;17664,54;15,15;1,44E+11;3778,53;21,73;21,8;101,74;20,69;11,88;11;68,05;61,89;28,62;38171525;3;5;6;77,72;7;39,77;73,75;0;0
1984;Spain;27;7;13;7;0;0;0;0;2;14;6;0;3;15;14;35;5;23;22;73;1,44E+11;2,36;55,36;21,3;1,06;78,36;23,02;1,03;0,14;6,86E+11;17905,29;14,92;1,63E+11;4248,74;20,6;19,98;98,95;20,24;10,86;11;71,19;62,81;30,41;38330364;3;5;6;80,05;7;41,54;73,98;0;0
1985;Spain;34;7;17;13;0;0;1;0;2;17;4;1;3;26;17;41;0;43;13;84;1,52E+11;2,36;54,45;20,86;0,86;78,36;24,11;1,09;0,14;7,02E+11;18254,68;15,19;1,82E+11;4737,85;20,82;20,52;99,17;20;8,6;11;71,85;59,09;29,98;38469512;3;5;6;81,56;7;40,87;74,21;0;0
1986;Spain;38;9;15;31;0;1;0;2;5;10;7;1;9;39;26;56;11;67;23;110;2,13E+11;2,36;53,43;18,2;1,05;77,37;25,18;1,37;0,15;7,25E+11;18792,33;14,99;2,09E+11;5413,12;21,73;21,07;99,1;17,15;10,88;11;78,82;73,38;24,77;38584624;3;5;6;86,78;7;35,35;74,44;1;0
1987;Spain;33;5;14;18;0;1;0;0;5;10;9;3;8;36;21;55;6;82;34;121;2,72E+11;2,9;52,58;17,72;-0,87;77,88;26,28;1,43;0,23;7,65E+11;19783,39;15,49;2,34E+11;6038,62;23,16;22,3;101,04;18,6;5,94;11;80,25;75,73;26,14;38684815;3;5;6;90,31;7;36,32;74,67;2;0
1988;Spain;36;12;25;21;0;1;4;0;14;4;5;1;2;44;26;62;10;88;23;156;3,21E+11;3;51,8;17,3;-2,11;76,95;28,1;1,87;0,33;8,04E+11;20747,18;15,34;2,60E+11;6697,67;25,35;24,12;102,3;19,41;5,94;11;81,67;79,03;26,58;38766939;3;5;6;94,58;7;36,71;74,9;3;0
1989;Spain;28;19;19;20;0;0;4;0;14;16;16;2;12;49;50;60;16;133;39;180;3,57E+11;3,1;50,99;16,6;-4,18;77,73;30,16;2,03;0,36;8,43E+11;21714,58;15,84;2,92E+11;7517,87;26,68;25,5;104,41;20,78;6,9;11;81,86;78,81;27,96;38827764;3;5;6;100,34;7;37,38;75,13;6;2
1990;Spain;32;19;18;17;0;0;0;0;27;16;11;5;4;41;37;73;17;142;68;224;4,62E+11;3,3;50,12;15,72;-4,16;77,59;32,15;2,61;0,66;8,75E+11;22512,76;16,25;3,25E+11;8361,62;26,84;25,75;104,43;19,89;7,33;11;82,14;79,44;26,72;38867322;3;5;6;107,28;7;35,61;75,35;3;1
1991;Spain;34;7;10;16;0;0;0;0;44;26;10;7;15;42;119;107;20;168;49;260;4,98E+11;3,4;49,35;15,76;-3,96;78,2;33,75;2,16;0,77;8,97E+11;23027,25;16,92;3,56E+11;9148,27;26,02;25,02;104,22;19,72;6,94;11;82,36;77,6;26,59;38966376;3;5;6;107,89;7;35,48;75,53;26;0
1992;Spain;36;6;14;4;0;2;2;0;16;14;17;22;39;54;80;163;19;218;92;327;5,45E+11;3,6;48,52;16,19;-3,6;79,78;35;2,1;0,35;9,06E+11;23127,68;17,81;3,84E+11;9794,85;24,07;23,03;103,85;19,79;6,71;11;83,32;80,48;26,01;39157685;3;5;6;107,33;7;35,98;75,61;28;1
1993;Spain;43;6;14;10;0;2;3;0;9;9;16;27;49;46;58;221;27;256;119;398;4,52E+11;4;47,71;17,71;-1,53;80,25;36,05;2,06;0,82;8,96E+11;22770,73;18,35;3,98E+11;10121,64;21,46;21,17;101,71;19,24;4,54;11;81,96;80,05;27,07;39361262;3;5;6;95,53;7;36,95;75,69;34;0
1994;Spain;40;6;16;10;0;2;0;1;9;12;21;43;53;84;46;280;33;276;112;419;4,50E+11;4,3;47,04;20,31;-1,02;79,44;37,03;1,65;0,68;9,18E+11;23202,67;17,76;4,18E+11;10573,88;21,65;21,02;101,09;21,33;3,88;11;82,61;79,45;31,2;39549108;3;5;6;91,12;7;41,64;75,77;32;0
1995;Spain;41;3;15;9;0;0;4;1;10;11;34;140;32;91;161;286;46;328;142;501;5,30E+11;4,2;46,57;21,83;-1,12;78,6;37,94;1,35;0,8;9,43E+11;23737,48;17,61;4,57E+11;11499,65;22,52;21,9;101,12;22,95;4,93;11;83,92;79,41;34,39;39724050;3;5;6;92,76;7;44,78;75,86;70;0
1996;Spain;48;9;14;30;0;1;3;0;11;22;32;68;36;105;79;303;46;338;132;528;5,50E+11;4,3;46,24;23,03;-0,18;77,95;38,62;1,53;1,13;9,68E+11;24267,74;17,49;4,82E+11;12090,92;22,23;21,69;100,18;23,21;3,46;12;82,83;79,42;35,55;39889852;3;6;6;94,65;6;46,25;75,94;53;2
1997;Spain;75;14;15;17;0;3;3;0;15;21;54;182;39;167;191;394;55;383;142;615;5,06E+11;4,43;46,01;25,67;0,17;77,22;39,6;1,6;2,51;1,00E+12;25061,01;17,01;5,13E+11;12809,55;22,61;22,13;99,83;25,5;2,36;12;84,79;82,06;36,68;40057389;3;6;6;90,48;6;51,17;76,02;109;0
1998;Spain;63;6;35;11;0;4;2;2;14;14;49;153;65;140;143;441;57;389;141;653;5,32E+11;4,1;45,89;26,1;-0,46;76,53;40,52;2,54;3,52;1,05E+12;26053,91;16,86;5,49E+11;13646,16;23,93;23,28;100,46;26,56;2,57;12;85,05;83,65;40,15;40223509;3;6;6;90,97;6;52,66;76,1;88;0
1999;Spain;92;9;24;12;0;2;8;0;11;29;71;204;61;171;290;538;69;456;149;672;5,46E+11;3,91;45,81;26,35;-1,93;76,4;40,74;3,09;7,11;1,10E+12;27113,73;16,79;5,90E+11;14616,43;25,54;24,73;101,93;28,28;2,54;12;85,51;83,58;37,78;40386875;3;6;6;90,37;6;54,64;76,18;114;0
2000;Spain;78;5;29;13;2;6;5;0;28;22;67;246;86;142;263;509;90;492;173;670;5,12E+11;3,85;45,78;28,56;-2,96;76,32;41,9;6,79;9,9;1,15E+12;28408,81;16,7;6,43E+11;15855,36;26,64;25,94;102,96;31,52;3,33;12;84,4;80,66;45,47;40567864;3;6;6;88,44;6;60,08;76,26;86;0
2001;Spain;96;6;47;4;0;3;2;2;37;20;66;298;111;176;292;609;84;500;195;694;5,33E+11;3,83;45,42;27,86;-2,27;75,81;42,43;4,61;5,36;1,20E+12;29321,89;16,54;6,91E+11;16922,5;26,46;25,88;102,27;30,14;4,11;12;84,81;80,74;43,25;40850412;3;6;6;90,1;6;58;76,34;122;0
2002;Spain;108;7;25;19;2;10;11;0;16;16;89;523;150;176;349;632;88;532;185;773;5,99E+11;3,82;45,12;26,55;-1,99;75,31;42,08;5,58;4,68;1,23E+12;29700,16;16,62;7,41E+11;17886,41;26,68;26,16;101,99;28,55;4,08;12;84,92;80,77;41,22;41431558;3;6;6;92,17;6;55,1;76,53;131;1
2003;Spain;109;17;31;14;0;9;7;4;64;23;117;779;254;410;976;692;76;604;221;782;7,73E+11;3,78;44,9;25,63;-2,21;74,7;41,69;3,4;3,74;1,27E+12;30037,62;16,78;7,96E+11;18860,55;27,5;27,1;102,21;27,83;3,93;12;84,61;80,67;40,28;42187645;3;6;6;96,75;6;53,46;76,78;152;0
2004;Spain;103;15;38;13;0;10;21;1;26;15;96;701;404;361;1048;797;115;695;250;765;9,05E+11;3,82;44,79;25,41;-3,7;75,41;41,41;2,37;5,83;1,31E+12;30445,75;17,17;8,51E+11;19836,59;28,29;27,81;103,7;29,11;3,88;12;83,79;79,77;41,32;42921895;3;6;6;98,69;6;54,52;77,02;159;0
2005;Spain;111;15;37;22;2;18;6;7;24;32;101;883;374;360;1182;889;106;767;259;908;9,69E+11;3,82;44,77;24,98;-4,8;75,42;44,21;2,34;3,91;1,35E+12;31029;17,33;9,15E+11;20950,44;29,39;29,01;104,8;29,78;4,1;12;82,74;76,44;41,74;43653155;3;6;6;99,13;6;54,76;77,26;198;1
2006;Spain;108;22;41;29;3;21;14;7;32;25;154;864;418;362;1025;962;187;992;335;867;1,05E+12;3,8;45,12;25,24;-5,69;75,13;44,41;2,61;8,29;1,41E+12;31760,6;17,36;9,85E+11;22191,84;30,57;30,03;105,69;30,94;3,98;12;82,09;74,15;43,07;44397319;3;6;6;100,46;6;56,18;77,5;218;0
2007;Spain;96;8;32;17;2;15;12;0;28;15;190;377;211;399;245;1124;221;1153;377;912;1,22E+12;3,85;45,52;25,98;-5,78;75,34;44,45;4,63;9,95;1,46E+12;32301,97;17,71;1,05E+12;23197,44;30,44;29,86;105,78;31,76;3,42;12;81,24;74,26;43,65;45226803;3;6;6;102,02;6;57,75;77,74;178;0
2008;Spain;154;20;46;42;3;19;24;0;48;39;247;421;271;442;269;1228;264;1251;386;976;1,33E+12;4,1;45,95;25,62;-4,74;76,28;44,66;4,56;4,66;1,47E+12;32072,76;18,82;1,08E+12;23474,31;28,45;27,84;104,74;30,36;2,25;12;79,26;71,14;43,21;45954106;3;6;6;103,92;6;55,98;77,98;185;0
2009;Spain;169;12;73;33;1;22;10;11;34;32;267;468;361;564;286;1476;294;1369;469;950;1,22E+12;4,44;46,37;23,06;-0,87;77,57;43,46;0,64;1,06;1,42E+12;30593,61;20,64;1,05E+12;22622,57;23,3;23,11;100,87;23,93;0,14;12;79,8;73,55;35,04;46362946;3;6;6;103,79;6;46,99;78,21;205;0
2010;Spain;162;20;65;26;4;29;20;7;47;38;275;547;390;571;342;1530;353;1441;482;1139;1,17E+12;4,41;46,73;25,95;-1,02;78,72;43;2,58;2,66;1,42E+12;30502,72;20,63;1,06E+12;22695,26;22,3;21,79;101,02;26,98;0,15;12;78,94;70,54;40,93;46576897;3;6;6;100;6;52,93;78,44;232;0
2011;Spain;130;24;52;42;2;47;24;8;59;40;317;676;407;681;372;1834;399;1714;523;1095;1,20E+12;4,45;47,65;29,53;0,28;79,15;42,24;1,81;3,04;1,41E+12;30147;20,67;1,04E+12;22356,24;20,57;20,02;99,72;29,26;-0,02;12;77,48;68,9;46,2;46742697;3;6;6;100,4;6;58,79;78,67;271;0
2012;Spain;114;12;69;25;3;27;20;10;26;29;295;941;535;703;436;2044;409;1823;575;1100;1,09E+12;4,1;48,41;31,46;2,07;79,5;41,59;1,57;-0,19;1,37E+12;29235,83;19,98;1,02E+12;21868,4;18,44;18,53;97,93;29,39;-0,11;12;75,35;65,97;47,75;46773055;3;6;6;97,97;6;60,85;78,9;279;0
2013;Spain;156;21;67;32;0;34;17;1;20;20;377;910;659;965;518;2081;450;1984;636;1211;1,11E+12;4,11;49,07;32,96;3,93;78,86;41,3;3,5;2,44;1,35E+12;28910,76;19,88;1,01E+12;21740,31;17,22;17,37;96,07;29,03;0,4;12;74,64;66,67;48,6;46620045;3;6;6;99,69;6;62;79,13;329;0
2014;Spain;121;9;51;35;0;33;33;1;16;15;368;857;669;850;564;1979;424;2154;626;1218;1,12E+12;4,08;49,76;33,48;3,1;79;41,12;2,41;3,35;1,37E+12;29398,61;19,64;1,03E+12;22124,67;17,9;17,78;96,9;30,38;-0,22;12;75,8;68,11;49,9;46480882;3;6;6;99,14;6;63,87;79,37;268;0
2015;Spain;114;22;51;20;1;45;23;1;17;22;313;986;704;829;560;2052;500;2187;638;1257;9,90E+11;4,05;50,5;33,63;3,04;77,96;41,51;1,93;4,71;1,42E+12;30549,79;19,48;1,08E+12;23196,29;19;18,01;96,96;30,59;0,55;12;77,26;70,83;49,71;46444832;3;6;6;93,69;6;64,21;79,6;327;0
2016;Spain;98;22;56;31;0;42;22;8;20;25;332;983;712;807;538;2120;489;2590;825;1265;1,02E+12;4,05;50,77;33,88;3,99;77,26;41,79;3,59;4,6;1,46E+12;31449,62;19,06;1,12E+12;24021,22;18,75;17,96;96,01;29,89;0,32;12;78,31;71,78;48,77;46483569;3;6;6;94,31;6;63,77;79,84;327;0
2017;Spain;74;15;52;23;1;30;11;2;11;22;376;905;725;774;605;2138;524;2615;795;1322;1,08E+12;4,05;51,17;35,18;3,58;76,99;41,99;1,91;2,98;1,50E+12;32282,9;18,62;1,16E+12;24930,85;19,43;18,66;96,42;31,6;1,38;12;77,17;70,17;51,29;46593236;3;6;6;95,48;6;66,78;80,08;359;1
1980;Sweden;82;7;14;14;0;0;2;0;5;4;6;1;8;14;0;43;9;67;29;192;1,22E+11;6;56,03;27,22;-1,83;75,9;57,96;0,18;0,44;2,58E+11;31060,99;27,43;5,93E+11;71302,16;28,13;25,99;104,02;29,05;11,72;13;80,72;82,82;45,66;8310531;4;6;7;147,57;6;56,27;83,09;0;0
1981;Sweden;101;8;11;13;0;3;5;1;12;17;11;0;8;13;1;51;9;64;52;213;1,10E+11;6;55,82;27,89;-0,34;77,21;58,8;0,14;0,64;2,59E+11;31164,87;27,74;6,45E+11;77473,94;24,41;24,45;101,62;28,23;8,77;13;78,86;85,74;44,7;8320503;4;6;7;147,71;6;56,12;83,1;0;0
1982;Sweden;81;14;11;5;0;1;0;0;30;3;10;0;9;22;7;38;10;65;50;273;96777121240;6;55,55;30,18;-0,72;77,85;59,62;0,31;1,07;2,63E+11;31535,97;27,59;7,02E+11;84314,55;23,96;24,28;101,81;30,9;8,08;13;80,55;82,67;47,95;8325263;4;6;7;133,02;6;61,07;83,1;0;0
1983;Sweden;113;14;17;12;0;2;5;0;16;17;2;2;6;23;5;49;19;104;36;283;87800532729;5,9;55,26;33,13;1,53;75,62;60,21;0,22;1,4;2,68E+11;32120,81;26,96;7,84E+11;94174,9;23,79;24,65;99,41;31,6;9,95;13;82,26;83,15;51,41;8329033;4;6;7;120,49;6;64,72;83,1;0;0
1984;Sweden;104;6;26;12;0;0;1;0;16;11;10;4;8;20;13;57;21;122;57;306;91660848463;5,7;55,01;33,75;2,92;73,43;61,48;0,27;1,38;2,79E+11;33448,96;26,05;8,80E+11;105606,81;24,81;25,06;98,24;30,84;7,64;13;82,74;85,59;51,52;8336605;4;6;7;126,31;6;64,59;83,1;1;0
1985;Sweden;102;17;12;12;0;1;8;0;5;16;21;2;2;20;17;77;19;145;47;316;95857543416;5,6;54,86;32,73;1,04;73,52;62,73;0,35;1,59;2,85E+11;34115,19;25,74;9,57E+11;114580,32;27,21;26,28;100,73;31,69;6,4;13;83,9;86,28;52,13;8350386;4;6;7;129,03;6;64,42;83,1;0;0
1986;Sweden;116;10;46;11;0;1;1;0;8;20;11;1;7;27;19;67;22;137;47;348;1,27E+11;5,6;54,89;30,54;2,46;73,57;64,08;0,73;2,65;2,93E+11;34951,96;25,44;1,05E+12;125488,71;25,39;25,12;98,96;28,08;6,32;13;85,12;87,96;46,87;8369829;4;6;7;128,21;6;58,62;83,1;1;0
1987;Sweden;120;4;7;9;0;0;1;0;18;8;13;6;10;26;17;73;15;136;71;326;1,56E+11;5,4;55;30,15;1,23;73,87;65,08;0,35;2,63;3,02E+11;36003,86;24,7;1,14E+12;135923,89;26,62;26,16;100,49;28,92;4,72;13;85,6;88,85;46,95;8397804;4;6;7;127,88;6;59,07;83,1;1;0
1988;Sweden;111;5;26;11;0;1;1;0;16;16;8;5;7;30;22;99;20;186;60;351;1,75E+11;5,3;55,19;29,87;1,01;73,13;66,17;0,82;3,64;3,10E+11;36755,89;24,04;1,25E+12;147775,09;27,89;27,31;101,02;28,86;6,57;13;85,9;88,7;46,46;8436489;4;6;7;131,76;6;58,74;83,1;0;0
1989;Sweden;106;11;32;12;1;1;0;2;40;10;22;15;14;39;50;107;20;204;80;360;1,84E+11;4,9;55,41;29,65;-0,15;72,13;67,13;0,84;4,76;3,18E+11;37480,79;24,32;1,38E+12;162338,31;30,73;29,88;102,86;29,79;7,92;13;86,56;88,9;46,5;8492964;4;6;7;135,46;6;59,44;83,1;3;0
1990;Sweden;89;9;36;17;1;1;2;2;25;25;14;14;11;27;51;122;30;183;79;413;2,19E+11;5;55,64;27,98;-0,24;72,73;68,27;0,76;5,63;3,21E+11;37473,01;25,37;1,51E+12;176637,13;30,14;29,51;102,87;28,22;9,47;13;87,2;89,57;43,05;8558835;4;6;7;140,86;6;56,2;83,1;3;0
1991;Sweden;97;4;30;14;0;8;5;1;32;22;21;13;21;57;85;127;23;209;61;445;2,29E+11;5,3;56,11;26,15;0,87;75,22;69,07;2,34;2,67;3,17E+11;36791,93;26,2;1,61E+12;186478,07;25,53;26,48;100,75;25,28;8,25;13;86,56;88,69;38,68;8617375;4;6;7;146,75;6;51,43;83,2;13;1
1992;Sweden;87;2;34;14;1;7;6;4;56;34;25;39;46;53;78;154;25;254;79;431;2,33E+11;5,1;56,5;26,01;0,91;76,75;68,25;0;0,15;3,13E+11;36152,99;27,28;1,58E+12;182790,44;23,47;23,31;100,22;25,1;1,02;13;86,62;87,9;37,64;8668067;4;6;7;146,69;6;51,11;83,36;10;0
1993;Sweden;108;9;52;14;0;6;1;21;70;29;19;20;38;51;37;202;38;225;96;468;1,72E+11;5,3;56,82;30,48;2,43;78,18;67,57;1,75;0,7;3,07E+11;35201,15;27,6;1,58E+12;180859,66;19,39;19,68;97,57;28,04;2,21;13;85,16;88,72;43,86;8718561;4;6;7;120,39;6;58,52;83,52;14;0
1994;Sweden;156;13;87;17;0;9;2;15;85;14;52;39;34;70;59;243;31;298;130;512;1,89E+11;7,96;57,04;33,64;3,07;76,21;67,82;2,76;2,94;3,19E+11;36340,15;26,6;1,71E+12;194616,74;20,72;19,74;96,93;30,57;2,6;13;84,64;87,22;53,36;8780745;4;6;7;118,62;6;64,22;83,67;8;1
1995;Sweden;207;3;67;7;0;8;12;24;126;30;51;32;19;55;71;267;35;381;147;566;2,24E+11;8,07;57,11;37,15;5,39;73,46;68,05;5,63;4,3;3,32E+11;37595,41;25,67;1,85E+12;209976,98;21,15;20,02;94,61;31,77;3,8;13;83,67;86,83;54,82;8826939;4;6;7;118,42;6;68,92;83,82;20;0
1996;Sweden;188;11;132;19;0;3;13;24;166;68;50;53;40;55;67;301;35;335;141;563;2,44E+11;8,28;57,16;36,06;5,26;73,82;68,09;1,9;1,76;3,37E+11;38141,78;26,01;1,90E+12;215411,65;20,92;20,54;94,74;30,79;1,01;13;82,86;87,68;52,4;8840998;4;6;7;127,85;6;66,85;83,91;18;1
1997;Sweden;210;12;148;32;1;18;31;20;221;70;32;50;44;73;71;284;48;289;142;595;2,23E+11;8,04;56,94;39,15;5,97;73,22;70,52;3,86;4,55;3,48E+11;39301,33;25,48;1,99E+12;225400,52;20,81;20,33;94,03;33,18;1,52;13;82,86;87,04;55,69;8846062;4;6;7;120,88;6;72,33;83,94;22;0
1998;Sweden;252;10;173;36;0;19;15;14;236;53;67;67;43;63;115;311;53;424;123;658;2,26E+11;7,22;56,51;40,09;5,32;72,72;72,02;8,68;10,34;3,62E+11;40953,22;25,55;2,11E+12;238041,6;21,95;21,22;94,68;34,77;0,82;13;82,4;85,15;56,96;8850974;4;6;7;117,03;6;74,86;83,97;35;0
1999;Sweden;212;13;212;61;1;31;33;19;237;56;68;56;58;87;131;383;42;363;147;653;2,29E+11;6,96;56,02;40,16;5,02;72,86;68,67;23,1;8,95;3,78E+11;42685,54;25,56;2,25E+12;253580,71;22,12;21,87;94,98;35,13;0,89;13;87,68;87,16;56,36;8857874;4;6;7;113,81;6;75,29;84;31;0
2000;Sweden;310;19;358;53;4;53;24;25;291;87;73;94;61;60;131;349;42;363;135;610;2,20E+11;6,82;55,58;43,23;4,84;71,95;68,19;8,73;15,39;3,97E+11;44694,43;24,67;2,40E+12;270046,95;23,21;22,56;95,16;38,39;1,48;13;86,37;86,98;61,23;8872109;4;6;7;111,18;6;81,61;84,03;38;0
